"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","1 2 3 FLISLEGGER AS","922575819","2022-03-08","Konkursåpning","Oslo","Under"
"2","1 HÅNDVERK MUR & BYGG AS","925810665","2022-12-13","Konkursåpning","Oslo","Under"
"3","100 DAYS AS","918844686","2022-12-19","Konkursåpning","Oslo","Under"
"4","149 AGENCIES AS","992009276","2023-02-08","Konkursåpning","Oslo","Under"
"5","14Z HOLDINGS AS","918351973","2021-10-25","Konkursåpning","Oslo","Under"
"6","14Z INTERNATIONAL AS","918480315","2021-10-22","Konkursåpning","Oslo","Under"
"7","14Z TECHNOLOGIES AS","916498306","2022-04-06","Konkursåpning","Oslo","Under"
"8","1COMPANY AVD DRAMMEN AS","913116151","2021-12-23","Konkursåpning","Oslo","Under"
"9","1COMPANY DRIFT AS","925178977","2022-01-10","Konkursåpning","Oslo","Under"
"10","1GRØNN ELEKTRO AS","926089439","2022-09-20","Konkursåpning","Oslo","Under"
"11","1STOPP AS","827367362","2023-10-24","Konkursåpning","Oslo","Etter"
"12","2 NS VVS PROSJEKTERING AS","992467061","2020-09-29","Konkursåpning","Oslo","Under"
"13","2ROM NORGE AS","919417609","2023-06-01","Konkursåpning","Oslo","Etter"
"14","3 MALERE AS","912593339","2022-05-24","Konkursåpning","Oslo","Under"
"15","3 STEINER AS","923147152","2020-10-26","Konkursåpning","Oslo","Under"
"16","3KT FLOTT AS","928613208","2023-10-20","Konkursåpning","Oslo","Etter"
"17","3P STILLAS AS","914772389","2019-07-16","Konkursåpning","Oslo","Før"
"18","7 STJERNERS R TRANSPORT OG FLYTTE AS","919039566","2022-09-08","Konkursåpning","Oslo","Under"
"19","A BYGG AS","919829168","2022-03-15","Konkursåpning","Oslo","Under"
"20","A M PARTNERS AS","922765790","2022-09-06","Konkursåpning","Oslo","Under"
"21","A MILJØ BYGG AS","922689237","2022-11-30","Konkursåpning","Oslo","Under"
