"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","4RENT CONTRACTORS AS
                ","918301747","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"2","ACTIVA PROSJEKT AS
                ","918433422","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"3","AD-REM AS
                ","918402896","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"4","AJ VEDLIKEHOLD AS
                ","918440917","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"5","AKVALAB LISTER AS
                ","918315314","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"6","ALAZAB
                ","918175156","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"7","ALMELUNDEN BOLIGSAMEIE
                ","918301089","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"8","AMALIENBORG BRYGGE AS
                ","918318593","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"9","AMPHIBIAN AS
                ","918328815","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"10","ANITAS HUD- OG FOTTERAPI AS
                ","918335544","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"11","ANTISINK AS
                ","918486666","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"12","AQUAKULTUR FARSUND AS
                ","918471839","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"13","AUTO MARINE TRANSPORT INC
                ","918113584","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"14","AUTO TRADE HOLDING AS
                ","918306188","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"15","AVIOR AXESS AS
                ","918418601","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"16","B-DEVELOPED AS
                ","918311483","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"17","B2 HOLDING AS
                ","918316507","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"18","BAKKE BREW AS
                ","818472242","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
