"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","8-BIT HOLDING AS
                ","918370471","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"2","A-Å REGNSKAP AS
                ","918398252","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"3","ADVOKATFIRMA SYVERTSEN AS
                ","918329110","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"4","ALEX FRISØR AS
                ","918338217","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"5","ANBRA HOLDING AS
                ","918408002","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"6","ANKA FORVALTNING AS
                ","918302425","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"7","ANLEGGSGARTNER RUNE EK AS
                ","918405526","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"8","ARCTIC PETS AS
                ","918406778","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"9","ARTIC SOCIETY AS
                ","918423281","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"10","ARVANS HOLDINGSELSKAP AS
                ","818417802","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"11","ASOS DA
                ","918026258","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"12","AUENHAUGLIE STØLSLAG SA
                ","918310967","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"13","AUTOTREND AS
                ","918478434","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"14","AZISSISPR HELENA AINA ZISSIS
                ","918375147","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"15","BEAUTY LOOK BANDZINAITE
                ","915190634","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"16","BELLA'S AS
                ","918394729","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"17","BERGANS TURGLEDE AS
                ","918408800","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"18","BEVISST NAPRAPATI AS
                ","918442545","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"19","BIALECKAS HJEMMEVASK
                ","918184430","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"20","BIEN BUTIKKDRIFT AS
                ","918309896","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"21","BITFLOW SOLUTIONS AS
                ","918457704","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"22","BJØRNERUD TAKST AS
                ","918416307","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"23","BJØRNSTAD ENTREPRENØR
                ","918194797","2017-01-07","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"24","BJØRNSTAD STEEN & LUND AS
                ","918305939","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"25","BLINGBLING BUTIKKEN V/ WILLEM ANDRÈ ROMKES
                ","918334432","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"26","BOX LYD OG LYS DA
                ","918472282","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"27","BRUGET ELEMENT AS
                ","918274960","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"28","BRØDRENE HAUGEN MALERSERVICE AS
                ","918377182","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"29","BUSKERUD ANTIRUST AS
                ","918342931","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"30","BUSKERUD BYGG TJENESTER AS
                ","918416412","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"31","BUSKERUD TAKSENTER AS
                ","818404522","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"32","CAPP AS
                ","918432973","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"33","CESSCON AS
                ","918360166","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"34","CHILARDERO AS
                ","918306439","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"35","COMPUTE-IT AS
                ","918400486","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"36","CONSTANT UTVIKLING AS
                ","918370730","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"37","COSTA BOES AS
                ","918408142","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"38","CRSS INVEST AS
                ","918471928","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"39","CXS NORDIC AS
                ","918345744","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"40","CÅREJÅNNI AS
                ","918378510","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"41","DAGALI ALARM AS
                ","918403841","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"42","DAGALI FJELLPARK AS
                ","918403809","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"43","DAMPBADSTUE AS
                ","918478507","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"44","DELBÆK TEKSTBYRÅ AS
                ","918447040","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"45","DRAMMEN OSTEOPATI AS
                ","918322868","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"46","DSD AS
                ","918451544","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
