"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","AKSEL ROBERTSEN
                ","996637522","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"2","AN DEKK AS
                ","918321349","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"3","ED-GARASJEN
                ","918377344","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"4","EIRIK BERG DAGLIGVARE AS
                ","918374361","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"5","EVA MARIE BERG HELSETJENESTER AS
                ","918330437","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"6","FISK, TING OG TANG TAPIO
                ","918441891","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"7","FYSIOTERAPEUT RUNA NESJE AS
                ","918409297","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"8","GBM AS
                ","918345833","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"9","HANNE HÆTTA GAUP AS
                ","918338136","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"10","HESSENG PIZZA AS
                ","918430229","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"11","HESTESKOEN 4 ALTA AS
                ","918456562","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"12","HIVAND EIENDOM AS
                ","918471820","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"13","HOGNEFJORD AS
                ","918378472","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"14","I GIR AS
                ","918463631","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"15","JACTUS MEDICAL SERVICES AS
                ","918432639","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"16","JOBBSERVICE AS
                ","918454802","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"17","KRISTENSEN BILPLEIE AS
                ","918414401","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"18","LARS HELGE BELDO
                ","915954898","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"19","MARTINSEN BYGG AS
                ","918305904","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"20","MKF-ASSIST AS
                ","918321012","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"21","NILLAS IVVAR K. GAUP
                ","918306463","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"22","NJORD J. AS
                ","918304630","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"23","NORDKAPP GROUP AS
                ","918455809","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"24","NORDKYN LIGHT AS
                ","918322590","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"25","NORDLYS BEMANNING AS
                ","918375503","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"26","RDH INVEST AS
                ","918372296","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"27","ROMAR BORDI MANAGEMENT AS
                ","918302875","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"28","ROSABLØGGER EKREM
                ","918377115","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"29","S.HEITMANN HOLDING AS
                ","918368507","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"30","SAMEIET SAGALI
                ","818299842","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"31","SAMIWAY AS
                ","918331662","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"32","SMIEVEIEN 2 KIRKENES AS
                ","918456511","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"33","SUSANNA ANDERSEN
                ","918404503","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"34","SØRØYA DREAM FISH AS
                ","918441980","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
"35","T.E HOLDING AS
                ","818305672","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Finnmark","Før"
