"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","A. FLEISCHER AS
                ","918352759","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"2","ADRIAN GULV OG MALING AS
                ","918304649","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"3","ADVOKATSYSTEMER AS
                ","918348158","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"4","ALVDAL RØR AS
                ","918359303","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"5","ANDMARK AS
                ","918382933","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"6","ANKR RÅDGIVNING AS
                ","918424199","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"7","APF MONTASJE AS
                ","918433945","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"8","ARNESENS LEGEKONTOR AS
                ","918310630","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"9","ARNFINN BAKKEN AS
                ","918429948","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"10","ARTTECH ENTREPRENØR AS
                ","918371818","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"11","ASTRID HENNY LIEN
                ","918436081","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"12","AVINEERING AS
                ","918441514","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"13","AYE SALG AYE AYE KHAING
                ","916070527","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"14","BB STORHAUG AS
                ","918408339","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"15","BEITO BARINVEST AS
                ","918462023","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"16","BEKVIK MOTOR
                ","986351914","2017-01-21","Reinnføring i Foretaksregisteret                  
                ","Innlandet","Før"
"17","BENTE FJELL
                ","918426612","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"18","BIRKEBEINER INVEST AS
                ","918314806","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"19","BJORLIHEIMEN HOTELL OG MØTESENTER AS
                ","918337415","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
"20","BJØRN BAKKEN
                ","994889664","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Innlandet","Før"
