"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","1128 HATTEN AS
                ","918425276","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"2","ADVOKAT JOHN ERIK NYGAARD
                ","918323376","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"3","ALSTAD NORKOM
                ","818381662","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"4","AMEDIA TRYKK BODØ AS
                ","918399380","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"5","AMHAVERN - JOCHEN FECHNER
                ","918453539","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"6","ANDREAS GRØNBECH
                ","918447458","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"7","AQUA LOFOTEN COAST ADVENTURE AS
                ","918486313","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"8","ARCTIC POWER CONSULTING AS
                ","918322329","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"9","ASN PRODUKSJON ANN SISSEL NILSEN
                ","918303960","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"10","AUTOTAKST HELGELAND AS
                ","918377727","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"11","BLOMSTERBUA SELFORS AS
                ","918331050","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"12","BLOMSØYA AS
                ","918431047","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"13","BLUE-SALMON AS
                ","918330135","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"14","BODØ HUNDETERAPI JULIE LEIRVIK
                ","818451792","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"15","BODØADVOKATEN AS
                ","918468684","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"16","BRØDRENE JOHANSEN HOLDING AS
                ","918342427","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"17","BULBSBUY SUNDSFJORD
                ","918450726","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"18","BYFLATO EIENDOM AS
                ","918416315","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"19","BYRAA BODØ AS
                ","918287299","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"20","BØ HAVFISKE AS
                ","918487735","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"21","BÅDE MARITIME AS
                ","918381031","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"22","CATHEDRAL FOTO DA
                ","917836728","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"23","COPA MEDIA AS
                ","818392222","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"24","CRAY MARTIN ALMENDINGEN RISHOLM
                ","918331395","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"25","DANIEL NYBORG
                ","918472487","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"26","DANIEL OLSEN AS
                ","918327649","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
