"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","3D KLO AS
                ","818334532","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"2","A.N.E AS
                ","918423362","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"3","ACESHOP AS
                ","918431225","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"4","ACFK HOLDING AS
                ","918313745","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"5","ACRYTEC AS
                ","918381287","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"6","AD HOC INVEST AS
                ","918308253","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"7","AGDER BÆR OG GRØNT AS
                ","918352996","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"8","ALARA INVEST AS
                ","918354417","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"9","ALCES DESIGN DA
                ","917815224","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"10","ALTIVEST AS
                ","918364900","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"11","ANDERS HØVRING HOLDING AS
                ","918306943","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"12","ANDERS STENSLI HOLDING AS
                ","918304592","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"13","ANDROMEDA AS
                ","918406638","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"14","APREN AS
                ","918478353","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"15","ARH AS
                ","918471170","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"16","ARIVA AS
                ","918425012","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"17","ARONIASHOT DA
                ","918440674","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"18","ARTIUS AS
                ","918374248","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"19","ASBJØRN HEIMARK AS
                ","918313265","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"20","ATATO AS
                ","918443215","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"21","ATMIYA AS
                ","918359605","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"22","AUSTDAL-AS
                ","918465138","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"23","AUXIOS AS
                ","917862885","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"24","AWOO ANS
                ","918079947","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"25","B DRIFT AS
                ","918323201","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"26","BAADEHOLMEN SLIPP AS
                ","918489614","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"27","BAR VISJON HOLDING AS
                ","918392262","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"28","BENTO SUSHI AS
                ","918465162","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"29","BERDEN AS
                ","918449310","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"30","BIKERS PIT ALF HELGE NORLAND
                ","918465510","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"31","BILBYEN BILPLEIE HAUGESUND AS
                ","918303901","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"32","BILPLEIESHOP.NO AS
                ","918421726","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"33","BJERRE DESIGN
                ","818401582","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"34","BJØNNBÅSEN FJERNVARME AS
                ","918441689","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"35","BJØRKE BIL AS
                ","918407049","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"36","BLAZING GUNS TATTOO AS
                ","918322337","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"37","BLESKESTAD MEK
                ","815942272","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"38","BOLIGUTVIKLING STAVANGER AS
                ","818347952","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"39","BR. BRUVIK
                ","918365982","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"40","BREDHOLD AS
                ","918469869","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"41","BROLIN HOLDING AS
                ","918390197","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"42","BRYNE LEGESENTER AS
                ","918407456","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"43","BRYNE WINCH SOLUTION AS
                ","918394230","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"44","BUNADSPERLA AS
                ","818319622","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"45","BURGERSTATION AS
                ","818304102","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"46","BUTIKKUTVIKLER.NO AS
                ","918399720","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"47","BUTT EIENDOM AS
                ","918455531","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"48","BYGGMESTER KNUT NILSEN AS
                ","918322531","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"49","BYGGMESTER S. JACOBSEN AS
                ","918439528","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"50","C. TEESDALE AS
                ","918407103","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"51","CALLSENTER24 AS
                ","918364013","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"52","CAPITAL HUS NORDGULEN
                ","918311750","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"53","CARAMAN BYGG AS
                ","918358919","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"54","CAROLINA HARBOE AS
                ","918454950","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"55","CARS ZONE BILPLEIE OG SERVICE AS
                ","818323492","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"56","CAUSALINX AS
                ","918455140","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"57","CENTILLION AS
                ","918355049","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"58","CENTRO SAREPTA AS
                ","918314997","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"59","CHAO-THAI THAIKJØKKEN AS
                ","918321853","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"60","CLEARSEATEC AS
                ","918423087","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"61","COMIDA DO BRASIL LUND ENK
                ","918307206","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"62","COMPETENCE HUB AS
                ","918487557","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"63","CONREHAB VEST AS
                ","918329021","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"64","COSMETIQUE HUNDVÅG AS
                ","918417877","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"65","D&A INVEST AS
                ","918340386","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"66","DALANE EIENDOM I AS
                ","918312749","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"67","DALANE KRAFT II AS
                ","918312714","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"68","DALANE NETT AS
                ","918312730","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"69","DAMÅ AS
                ","918407235","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"70","DATAUNITOR AS
                ","918381465","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"71","DELFI CONSULTANCY AS
                ","918352724","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"72","DELFI TECHNOLOGY AS
                ","918352678","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"73","DIAGNOSE TEKNIKK DA
                ","918299882","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"74","DIRDAL FOTO AS
                ","918459308","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"75","DKM INVEST AS
                ","918329625","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"76","DROP INN M&RS RESUL CIFTCI
                ","918341943","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"77","DØRHEIM VVS AS
                ","918389997","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"78","E. CHRISTIANSEN
                ","918377360","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"79","EDUNORWAY METLI
                ","918347852","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"80","EDVIN YDSTEBØ MARINE SERVICE
                ","818373252","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"81","EIE HELSESENTER AS
                ","918337326","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"82","EIGERSUND PARKERING AS
                ","818069782","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"83","EINAR TANGJERD
                ","918404481","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"84","EINARSEN 3D
                ","918398783","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"85","ELEKTRO KOMPETANSE GALTA
                ","918446036","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"86","ELITE BEMANNING AS
                ","918436715","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"87","ELOA AS
                ","918377735","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"88","EMERALD RESOURCES AS
                ","918416455","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"89","ENGASJERT SIV-GRETE LEA AS
                ","918328645","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"90","ENTREPRENØR FRODE OLSSON ANLEGG AS
                ","918317074","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"91","ENUR AS
                ","818326882","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"92","EPLAND ELEKTRO AS
                ","918310177","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"93","ESPEJO FRISØR AS
                ","918323368","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"94","ESPELAND ENERGI AS
                ","918360220","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"95","ESVA AS
                ","918481575","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"96","EUROPENANO AS
                ","918471030","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"97","EVENTMAT AS
                ","918439943","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"98","EVOTECHNOLOGY AS
                ","918454748","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"99","EXCESSION AS
                ","818487312","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"100","FAGERLAND INVEST AS
                ","918481222","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"101","FARSTAD ALUMINIUM AS
                ","918405194","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"102","FDS R&D AS
                ","918051589","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"103","FILUM AS
                ","918323783","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"104","FINTHUS.NO AS
                ","918366083","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"105","FIRST INTEGRATED SOLUTIONS AS
                ","918439994","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"106","FIXIT RENHOLDSBYRÅ AS
                ","918322981","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"107","FJELLVING AS
                ","918416528","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"108","FLIGHT SUPPORT AS
                ","918471596","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"109","FLYTTING&FRAKT AS
                ","918370064","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"110","FORTIS HOLDING AS
                ","918329595","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"111","FORUS HELSE AS
                ","918412190","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"112","FORUSPARKEN AUTO AS
                ","918374205","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"113","FOSS FUTURE AS
                ","818329032","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"114","FOTBALL EVENTS AS
                ","918424784","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"115","FOTOGRAF EIVIND HORNE
                ","988807451","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"116","FRANKS TINK AS
                ","818307632","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"117","FUN CENTER AS
                ","918408975","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"118","GARD MASKIN EIENDOM AS
                ","918321721","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"119","GEIR OVE ERGA
                ","918425519","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"120","GJERDEVIK INVEST AS
                ","918481303","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"121","GJESDAL GJENVINNING AS
                ","918317147","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"122","GLIMT INTERIØRARKITEKTER AS
                ","918325425","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"123","GRØNNING BRUKTBIL
                ","918332375","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"124","GRØNNSAKSXPRESSEN PER RAGNAR REVHEIM
                ","918351620","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"125","GTA KNUTSEN HOLDING AS
                ","918382038","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"126","GTTK EIENDOM AS
                ","818150202","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"127","GUDMUNDSEN LAKKERING AS
                ","918376658","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"128","GULLESTAD TRADING AS
                ","918312943","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"129","GULROTGÅRDEN AS
                ","918323279","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"130","GURI BERGERUDS SELSKAP AS
                ","918487646","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"131","H&H RADGIVNING LTD
                ","918360255","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"132","H. SIMONSEN
                ","918434593","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"133","HAGLAND TOMTESELSKAP AS
                ","918343105","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"134","HAMRE SERVICE AS
                ","918421912","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"135","HANA CONSULTING
                ","918473262","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"136","HARALDSGATEN 159 AS
                ","918342389","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"137","HARESTAD ELEKTRISKE HOLDING AS
                ","918330984","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"138","HAUGALAND AVLASTNING OG VEILEDNING AS
                ","918392866","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"139","HAUGALAND VAKT SERVICE AS
                ","918370056","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"140","HAUGALANDET FORSIKRING AS
                ","918377042","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"141","HEDATO AS
                ","918343989","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"142","HELGA AS
                ","918340661","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"143","HELMIK AS
                ","918434577","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"144","HENRIETTE IVERSEN
                ","918415939","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"145","HERRING INVEST AS
                ","918324216","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"146","HEY PAPERIE AS
                ","918406719","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"147","HK SHIPPING GROUP AS
                ","918433805","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"148","HOLDFACE AS
                ","918423354","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"149","HOLEN AUTOSALG AS
                ","918390596","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"150","HOSAAS INVEST AS
                ","818311982","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"151","HS EIENDOM AS
                ","918483586","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"152","HSSE SYSTEMS AS
                ","918480781","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"153","HT NÆRINGSMIDDELSERVICE AS
                ","918456317","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"154","HUS 247 AS
                ","918323457","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"155","HUSTVEIT FORSKALING
                ","918451897","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"156","HÅLAND 3 AS
                ","918489754","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"157","HÅLAND 4 AS
                ","918489738","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"158","HÅNDTLANGEREN ANDERS MYRLAND
                ","918379916","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"159","IAM NETSHOP AS
                ","918367055","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"160","IAPETUS AS
                ","918316361","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
