"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","KALVSKINNET UTLEIEBOLIGER AS
                ","918302948","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"2","OW EIENDOM AS
                ","918313990","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"3","MARITIME MAINTENANCE AND CONSULTING JOHN RUNE GRIMSMO
                ","912498549","2017-02-16","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"4","POLE POSITION ACCOUNTING AS
                ","918595759","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"5","SIOS SVALBARD AS
                ","918751815","2017-03-31","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"6","THOMASSENS FJELLSNACKS
                ","918925783","2017-05-02","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"7","SVALBARD FOLKEHØGSKOLE AS
                ","919216433","2017-06-29","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"8","HELFRIDS AS
                ","919111151","2017-08-03","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"9","ARCTIC RIDERS AS
                ","919506784","2017-09-05","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"10","SVALBARD YOGA AS
                ","919363339","2017-09-06","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"11","XARCTIC AS
                ","919486716","2017-09-11","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"12","ASIATISKE KJØTTSPESIALITETER AS
                ","919626690","2017-10-24","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"13","GLOBAL ADVENTURE & LOGISTIC GROUP AS
                ","919717157","2017-10-13","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"14","POLARGODT SVALBARD AS
                ","919687517","2017-10-09","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"15","SMIA SVALBARD AS
                ","819680272","2017-10-06","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"16","WALRUS AS
                ","919641207","2017-10-03","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"17","ARCTIC SPITSBERGEN AS
                ","919857080","2017-11-06","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"18","ARCTIC SPITSBERGEN SERVICE AS
                ","919948213","2017-11-22","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"19","POLAR HORIZONS AS
                ","919965215","2017-11-24","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"20","SKINNBODEN LOMPEN AS
                ","919827289","2017-11-06","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"21","CONARCTIC AS
                ","820139852","2017-12-18","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"22","SVALBARD MARINE UTVIKLING AS
                ","919692995","2017-12-04","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"23","BEHLKE SPACE AS
                ","920232582","2018-01-12","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"24","ONEWEB NORWAY AS
                ","920164498","2018-01-06","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"25","JULIA WELLNER UTVALGTE EVENTYR
                ","920488781","2018-02-23","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"26","SVALBARD HUSKY ADVENTURE CAMP AS
                ","920317030","2018-02-20","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"27","THORVIK MOTOR KIM ANDRÉ THORVIK HOLBERG
                ","920453953","2018-02-16","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"28","SYSTUA I NORD AS
                ","920542409","2018-03-05","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"29","BETONMASTHÆHRE ARCTIC AS
                ","920693806","2018-04-06","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"30","ELVESLETTA SYD- BLOKK C4 OG G1
                ","917954488","2018-04-03","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"31","SVALBARD ENERGI OG FRITID AS
                ","920722822","2018-04-13","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"32","SPITSBERGEN BYGG AS
                ","921086679","2018-06-29","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"33","YLVISAAKER AS
                ","920934676","2018-06-04","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"34","POLAR SPA AS
                ","921119275","2018-07-06","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"35","TFS AS
                ","921106998","2018-07-03","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"36","CONSTO SVALBARD AS
                ","921309880","2018-08-29","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"37","LONGBO AS
                ","921397828","2018-09-15","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"38","ARCTIC MEMORY AS
                ","921403461","2018-10-03","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"39","BARENTS EXPEDITIONS AS
                ","921636415","2018-10-31","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"40","HEARTS IN THE ICE AS
                ","921542178","2018-10-11","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"41","NUGA SUSHI & NOODLES STEIN ERIK ALLIKAS
                ","921572069","2018-10-18","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"42","ELVESLETTA SYD - BLOKK H OG I, VEI 505.19 OG 505.21
                ","921648189","2018-11-05","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"43","MORENA EIENDOM AS
                ","921732589","2018-11-15","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"44","NUGA SUSHI & NOODLES AS
                ","921684460","2018-11-07","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"45","SPITSBERGEN EIENDOM AS
                ","921970447","2018-12-20","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"46","SPITZBERGEN REISEN EIENDOM AS
                ","921891431","2018-12-17","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"47","SVALBARD SNØSCOOTERUTLEIE AS
                ","921970390","2018-12-20","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"48","SVALBARD SKI AND SAIL AS
                ","922134944","2019-01-30","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"49","BELUGA DESIGN AS
                ","922244669","2019-02-18","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"50","PERSONAL PARTNER - SVALBARD AS
                ","922173524","2019-02-06","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"51","SOUVENIR SVALBARD MANATSANSAN KOSANTHIA
                ","921981422","2019-02-12","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"52","EXPERIENCE ARCTIC AS
                ","919486716","2019-03-27","Rettelse av foretaksnavn                          
                ","Svalbard","Før"
"53","NYGÅRD'S VÅPENVERKSTED
                ","922552894","2019-03-28","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"54","SPITSBERGEN BOOKS AS
                ","922330867","2019-03-04","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"55","KNUT BERGEN AS
                ","922585636","2019-04-04","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
"56","BOLTERDALEN 2 AS
                ","922797250","2019-05-23","Nyregistrering i Foretaksregisteret               
                ","Svalbard","Før"
