"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","3FOTBALL AS
                ","918318313","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"2","A-DRIFT AS
                ","918417427","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"3","AASGAARDS BYGG OG MEKANISKE AS
                ","918465375","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"4","ADVOKAT INGE M. EVJA AS
                ","918444386","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"5","ALFRED INVEST AS
                ","818483252","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"6","ALT I BAD MAGNE JONASSEN
                ","818466552","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"7","BAR-ZONE AS
                ","918375589","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"8","BAREGRUPPEN AS
                ","918430822","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"9","BENSIN AS
                ","918301038","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"10","BERFIN AS
                ","818323522","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"11","BERGSLAND LEGESENTER DA
                ","918364137","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"12","BIG KAHUNA HOLDING AS
                ","818374542","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"13","BITUMARK BYGG AS
                ","818347642","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"14","BLIKKFANGERNE DA
                ","918435263","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"15","BOFF & MJAU AS
                ","918343571","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"16","BORGEN KOKKESERVICE AS
                ","918430741","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"17","BROKELANDSHEIA ØST 5 AS
                ","918436626","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
"18","BROKELANDSHEIA ØST 6 AS
                ","918436650","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Telemark","Før"
