"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","1BYGG AS
                ","918368159","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"2","2RAB AS
                ","918411313","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"3","A&S HOLDING AS
                ","918306684","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"4","AKSJEEIEREN AS
                ","918316787","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"5","ANNFRID MIDTGÅRD AS
                ","918464549","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"6","ARCTIC ADVENTURE HOLDING AS
                ","918356959","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"7","ARCTIC ADVENTURE TOURS AS
                ","918356975","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"8","ARCTIC BUESPORT AS
                ","818346182","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"9","ARCTIC DRIFT OG VEDLIKEHOLD AS
                ","918354778","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"10","ARCTIC EIENDOMSUTVIKLING AS
                ","918357734","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"11","ARCTIC PIPING AS
                ","918446397","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"12","ARCTIC R&B AS
                ","818354932","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"13","ARCTIC SEA CRUISE INVEST AS
                ","918491724","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"14","ARKTISK GEOTEK DA
                ","818391862","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"15","ASIATISKE MATVARER HARSTAD NERGIZ HASO QUTAS
                ","918448934","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"16","AVH 1 AS
                ","918308792","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"17","AVH 2 AS
                ","918308814","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"18","AVH 3 AS
                ","918308849","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"19","AVH 4 AS
                ","918308830","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"20","AVH 5 AS
                ","918308911","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"21","B.T.M. INVEST AS
                ","918313117","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"22","BASE TROMSØ MARKUS ASPEN
                ","918473912","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"23","BERNH LUND EIENDOM III AS
                ","918465545","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"24","BILUTSTYR NOR AS
                ","918326707","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"25","BLÅMANN BYGG AS
                ","918455965","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"26","BOLIGSAMEIET WORKINNTOPPEN A3 OG A4
                ","918372245","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"27","BORCH CAPITAL MANAGEMENT AS
                ","918481583","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"28","BROKVIK HOLDING AS
                ","918423990","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"29","BRTECH AS
                ","918421823","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"30","CAMP BIRTAVARRE AS
                ","918480595","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"31","CARGO TEAM AS
                ","818403062","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"32","CHICKENHOUSE HARSTAD AS
                ","918463593","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"33","DAVID JOHANSSON
                ","918416498","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"34","DUMONCEAU AS
                ","918391770","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"35","EIOS MASKIN OG TRANSPORT AS
                ","918453415","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"36","ELDAR KYSTFISKE AS
                ","918458794","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"37","ENGENS HUNDEMAT
                ","918331689","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
