"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","64GRADERNORD AS
                ","918478566","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"2","A4 EIENDOM AS
                ","918428720","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"3","AAR HOLDING AS
                ","918410406","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"4","AASEN CATERING
                ","918446524","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"5","ABG UTLEIE AS
                ","918075291","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"6","ADD VENTURE AS
                ","918468900","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"7","ADVOKAT CAMILLA ØDEGAARD LETNES AS
                ","918357408","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"8","AGROIT AS
                ","818390432","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"9","AMDAM AS
                ","918449094","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"10","AMUROA AS
                ","918329129","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"11","AQUA TRANSPORT AS
                ","918449752","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"12","ARBEIDSBILER AS
                ","918311947","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"13","ARNTE HOLDING AS
                ","918462716","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"14","ASSA INVEST AS
                ","918329501","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"15","ASTRONAUT TECHNOLOGIES AS
                ","918409343","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"16","AUTOFIX STJØRDAL AS
                ","918400524","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"17","AVENIR HOLDING AS
                ","918485945","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"18","AXESTO AS
                ","818426402","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"19","B. FOSSUM AS
                ","918455930","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"20","B2 EIENDOMSUTVIKLING AS
                ","818330952","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"21","BACKLUND EIENDOM AS
                ","918459189","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"22","BARE KNUT AS
                ","918374159","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"23","BB BYGGSERVICE AS
                ","918463704","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"24","BB10 UTVIKLING AS
                ","918306749","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"25","BEKKEFARET BOLIG 2 AS
                ","918423540","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"26","BERGFJORD BÅTUTLEIE AS
                ","818430922","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"27","BIL & MC LOFTET AS
                ","918448756","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"28","BITFROST STUDIOS DA
                ","918337474","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"29","BITLABS AS
                ","918377212","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"30","BJØRNARS DA
                ","918307893","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"31","BLIMS TECH AS
                ","918341544","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"32","BLINDE BONDE & BABE AS
                ","918436529","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"33","BORETTSLAGET SØRLIA BOLIGPARK
                ","918342117","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"34","BRAG TRONDHEIM AS
                ","918415319","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"35","BREACH AS
                ","918166769","2017-01-03","Administrativ kunngjøring                         
                ","Trøndelag","Før"
"36","BREIVOLD CONSULT AS
                ","918463119","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"37","BRIT HAUGER AS
                ","918166661","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"38","BRØØL AS
                ","918310347","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"39","BUE BIL AS
                ","918433902","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"40","BUTIKKDRIFT MASAI AKBARI
                ","918457127","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"41","BÆRI INVEST AS
                ","918373446","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"42","CAROLINE NAUSTVOLL
                ","917894477","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"43","CATHRINE OLSEN
                ","918462570","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"44","CBJ COMPUTING AS
                ","918489185","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"45","CERVUS INVEST AS
                ","918477675","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"46","CHRISTIANSEN KONTORSERVICE AS
                ","918411666","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"47","CLEMATIS AS
                ","918488847","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"48","CONNECTION TRAVEL GROUP AS
                ","918420630","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"49","COTS CONTROL AS
                ","918454144","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"50","DALASETER AS
                ","918366466","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"51","DOLMØY HOUSE OF SEAFOOD AS
                ","918472703","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"52","DOVILE AS
                ","918369821","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"53","DR STOKKE AS
                ","918434402","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"54","DRØMMEFRYD AS
                ","918408657","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"55","DYPDALSBAKK AS
                ","918366571","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"56","EIGER CAPITAL AS
                ","918399062","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"57","EKSPRESS SERVICE AS
                ","818397372","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"58","ELAS HOLDING AS
                ","918319042","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"59","ELEKTRO SUPPORT AS
                ","918369937","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"60","ELH HOLDING AS
                ","918307192","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"61","ELIN MARIE AS
                ","918376895","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"62","EMI BYGG AS
                ","918466002","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"63","ENGDAL AQUA AS
                ","918312692","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"64","ENIVA AS
                ","918269444","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"65","ENVA AS
                ","918359621","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"66","ERAN INVEST AS
                ","918459774","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"67","ERIC N. ERICSON
                ","918355294","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"68","EXE OF HELL AS
                ","914286166","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"69","FAADETPAA AS
                ","918415408","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"70","FEJA SIRKEL EIENDOM ANS
                ","918446516","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"71","FIKSDAL AS
                ","918351833","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"72","FISH NUTRITION AS
                ","918301194","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"73","FLS HOLDING AS
                ","918300899","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"74","FOSEN BUD & VARETAXI (SVEN EGIL STRAND)
                ","988871540","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"75","FOTOGRAF TRINE HUSTAD AS
                ","918479104","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"76","FOTOKNOFF AS
                ","918430954","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"77","FREMSTU BONES AS
                ","818320442","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"78","FRISØR UNA AS
                ","818423012","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"79","FRISØR VANJA LUNDEMO AS
                ","918465758","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"80","FRODE HAVDAL
                ","890879772","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"81","FWME AS
                ","818318782","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"82","GANGSTAD HOLDING AS
                ","918423214","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"83","GAULA ØST BEITELAG SA
                ","918390901","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"84","GINE U.H. INVEST AS
                ","918332073","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"85","GISLE JOHNSONS GATE AS
                ","918468927","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"86","GLOBAL COMMERCE & COMMUNICATION GROUP AS
                ","918449671","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"87","GOBA AS
                ","918480552","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"88","GODT FORNØYD AS
                ","918109927","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
