"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"1","3M BUTIKKDRIFT AS
                ","918431985","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"2","ADSCENSIO NINA GUNDERSEN
                ","918311777","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"3","ADVISI SA
                ","918380752","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"4","AGF UTVIKLING AS
                ","918317740","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"5","AKTIVMAMMA AS
                ","818277962","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"6","ALANTA HOLDING AS
                ","918371893","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"7","ALIBABA TELECOM AS
                ","918342559","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"8","ALL ADVICE AS
                ","917871671","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"9","ANDEBUVEIEN 10 AS
                ","918267336","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"10","ANGELTVEDT CONSULTING AS
                ","918447733","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"11","ARMANDO ANDRIUS PUTRAMENTAS
                ","915087345","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"12","AROBASTA RESTAD
                ","918418547","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"13","AYRES INVEST AS
                ","918321527","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"14","BALANSE HOLDING AS
                ","918308296","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"15","BEERINNOVATION NORWAY THOMAS AAS
                ","818481942","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"16","BELLENO5 AS
                ","918360042","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"17","BENEDICTE S. A. ASKJER
                ","918440666","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"18","BERG & JOHNSRUD AS
                ","918316205","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"19","BICI & SKI AS
                ","918490310","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"20","BLUE MARINE INVEST AS
                ","918407766","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"21","BROEN-KONRADSEN AS
                ","918433112","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"22","BRUNSTAD HOLDING AS
                ","918317872","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"23","BULLS GATE 1 AS
                ","918371877","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"24","BYGG OG HAGE AS
                ","918416617","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"25","BYGGFIRMA PER KRISTIAN ELIASSEN AS
                ","918356770","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"26","BYGGMESTER TROND THORSTENSEN AS
                ","918398899","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"27","C.GJEITREM
                ","918466703","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"28","CAM OASEN AS
                ","918301453","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"29","COVE INVEST AS
                ","918367454","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"30","CSI PROPERTY AS
                ","818338562","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"31","DARA UTVIKLING AS
                ","918451242","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"32","DEL MARE EIENDOM AS
                ","918371664","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"33","DIAMOND STUDIO AS
                ","818469292","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"34","DIAMONDCARE COATING AS
                ","918453563","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"35","DIGITALKOMPETANSE AS
                ","918395393","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"36","DUJAKA MANAGEMENT AS
                ","918397949","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"37","EASY LAVPRIS AS
                ","818306482","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"38","EASYWEB AS
                ","918486496","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"39","EIENDOMS REHABILITERING AS
                ","918490493","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"40","ELVIRA FORLAG AS
                ","918420320","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"41","ENFUEGO AS
                ","918305327","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"42","ERVISTAN HOLDING AS
                ","918336117","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"43","EUREQA AS
                ","918400915","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"44","EV VESTFOLD AS
                ","918442723","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"45","FAM FATAL UNDERHOLDNING DA
                ","918371044","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"46","FEMTEE50 AS
                ","918469842","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"47","FENESS LOGOPEDI AS
                ","818449232","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"48","FOYN TEGNEKONTOR
                ","918355251","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"49","FREIBERG VARMETEKNIKK AS
                ","918335455","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"50","FÆRDER BETONG AS
                ","918315217","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"51","FØYNLAND UTVIKLING AS
                ","918418415","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"52","GRAN & OXHOLM AS
                ","918447385","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"53","GREENFOODCOMPANY AS
                ","918329285","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"54","GUNNSTEIN FRETHEIM AS
                ","918490485","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"55","GURMARK BYGG OG ISOLERING AS
                ","918336079","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"56","GYRARI AS
                ","918347488","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"57","HANSEN PHARMASERVICE AS
                ","918316353","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"58","HARVEST GEO AS
                ","918442065","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"59","HENRIKSEN BILSERVICE
                ","918331670","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"60","HOUSE OF STEEL AS
                ","918181830","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"61","HVALFANGSTENS HUS AS
                ","918451560","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"62","HØNEBERGET AS
                ","918430431","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"63","HÅNDVERKER HÅKON SØDAL
                ","918359494","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"64","I&J HOLDING AS
                ","918330445","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"65","INCENDO III AS
                ","918329102","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"66","INNOPORT AS
                ","918309489","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"67","INVENTA ENTREPRENØR AS
                ","918360239","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"68","JAN BERGAN RETTSHJELPER AS
                ","918325387","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"69","JARLSBERG TRAVBANE UTVIKLING AS
                ","918323856","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"70","JERNBANEALLEN HOLDING AS
                ","918415106","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"71","KAUPANG PROSJEKT AS
                ","918331069","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"72","KEBAB HJØRNET DA
                ","918416781","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"73","KLAVENÆS TREINNREDNING AS
                ","918373322","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"74","KONGENSGATE 2 SANDEFJORD AS
                ","918311882","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"75","KROHNMUSIC AS
                ","918414983","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"76","KRÅKA HOLDING AS
                ","918336370","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"77","LANDSKAPERE AS
                ","918485910","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"78","LARS MARTIN LIAN MEKANISKE
                ","916568266","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"79","LARSEN MEDIA AS
                ","918342087","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"80","LEANS CAFE OG WOK AS
                ","918433627","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"81","LEGE IVAN DIMITRIJEVIC
                ","918463429","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"82","LEGENE BRØNGEL OG OSEBERG DA
                ","918119957","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
